"filename", "language", "Dotenv", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\.env", "Dotenv", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\README.md", "Markdown", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\package-lock.json", "JSON", 0, 0, 3501, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3502
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\Api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 1, 4, 107
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 13, 134
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\context\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\context\useAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\helpers\ProtectedRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 5
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\AddFriends.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 8, 93
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\FollowRequests.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 7, 76
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Followers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 7, 70
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Following.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 446, 0, 0, 0, 0, 5, 21, 472
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 8, 96
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 22, 244
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Notifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 8, 72
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Profile.tsx.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 16, 195
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 9, 109
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\pages\UserProfiles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 1, 11, 129
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\types\Auth.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Diar\Desktop\theodin\SocialMedia\frontend\src\types\Follow.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
